img_name,id,class_name,x,y,width,height
Capture 1.PNG,0,Pedestrian stop,0.466719,0.259193,0.023772,0.022539
Capture 1_1.PNG,0,Pedestrian stop,0.466719,0.259193,0.023772,0.022539
Capture 1_10.PNG,0,Pedestrian stop,0.466719,0.259193,0.023772,0.022539
Capture 1_11.PNG,0,Pedestrian stop,0.466719,0.259193,0.023772,0.022539
Capture 1_15.PNG,0,Pedestrian stop,0.466719,0.259193,0.023772,0.022539
Capture 1_2.PNG,0,Pedestrian stop,0.466719,0.259193,0.023772,0.022539
Capture 1_3.PNG,0,Pedestrian stop,0.466719,0.259193,0.023772,0.022539
Capture 1_5.PNG,0,Pedestrian stop,0.466719,0.259193,0.023772,0.022539
Capture 1_6.PNG,0,Pedestrian stop,0.466719,0.259193,0.023772,0.022539
Capture 1_8.PNG,0,Pedestrian stop,0.466719,0.259193,0.023772,0.022539
Capture 1_9.PNG,0,Pedestrian stop,0.466719,0.259193,0.023772,0.022539
Capture 2.PNG,1,Green light (Go),0.795853,0.302758,0.031898,0.070743
Capture 2.PNG,1,Green light (Go),0.256778,0.144484,0.098884,0.034772
Capture 2.PNG,2,Pedestrian go,0.829346,0.322542,0.035088,0.028777
Capture 2_1.PNG,1,Green light (Go),0.795853,0.302758,0.031898,0.070743
Capture 2_1.PNG,1,Green light (Go),0.256778,0.144484,0.098884,0.034772
Capture 2_1.PNG,2,Pedestrian go,0.829346,0.322542,0.035088,0.028777
Capture 2_10.PNG,1,Green light (Go),0.795853,0.302758,0.031898,0.070743
Capture 2_10.PNG,1,Green light (Go),0.256778,0.144484,0.098884,0.034772
Capture 2_10.PNG,2,Pedestrian go,0.829346,0.322542,0.035088,0.028777
Capture 2_11.PNG,1,Green light (Go),0.795853,0.302758,0.031898,0.070743
Capture 2_11.PNG,1,Green light (Go),0.256778,0.144484,0.098884,0.034772
Capture 2_11.PNG,2,Pedestrian go,0.829346,0.322542,0.035088,0.028777
Capture 2_15.PNG,1,Green light (Go),0.795853,0.302758,0.031898,0.070743
Capture 2_15.PNG,1,Green light (Go),0.256778,0.144484,0.098884,0.034772
Capture 2_15.PNG,2,Pedestrian go,0.829346,0.322542,0.035088,0.028777
Capture 2_2.PNG,1,Green light (Go),0.795853,0.302758,0.031898,0.070743
Capture 2_2.PNG,1,Green light (Go),0.256778,0.144484,0.098884,0.034772
Capture 2_2.PNG,2,Pedestrian go,0.829346,0.322542,0.035088,0.028777
Capture 2_3.PNG,1,Green light (Go),0.795853,0.302758,0.031898,0.070743
Capture 2_3.PNG,1,Green light (Go),0.256778,0.144484,0.098884,0.034772
Capture 2_3.PNG,2,Pedestrian go,0.829346,0.322542,0.035088,0.028777
Capture 2_5.PNG,1,Green light (Go),0.795853,0.302758,0.031898,0.070743
Capture 2_5.PNG,1,Green light (Go),0.256778,0.144484,0.098884,0.034772
Capture 2_5.PNG,2,Pedestrian go,0.829346,0.322542,0.035088,0.028777
Capture 2_6.PNG,1,Green light (Go),0.795853,0.302758,0.031898,0.070743
Capture 2_6.PNG,1,Green light (Go),0.256778,0.144484,0.098884,0.034772
Capture 2_6.PNG,2,Pedestrian go,0.829346,0.322542,0.035088,0.028777
Capture 2_8.PNG,1,Green light (Go),0.795853,0.302758,0.031898,0.070743
Capture 2_8.PNG,1,Green light (Go),0.256778,0.144484,0.098884,0.034772
Capture 2_8.PNG,2,Pedestrian go,0.829346,0.322542,0.035088,0.028777
Capture 2_9.PNG,1,Green light (Go),0.795853,0.302758,0.031898,0.070743
Capture 2_9.PNG,1,Green light (Go),0.256778,0.144484,0.098884,0.034772
Capture 2_9.PNG,2,Pedestrian go,0.829346,0.322542,0.035088,0.028777
Capture 3.PNG,2,Pedestrian go,0.612083,0.364397,0.015898,0.014337
Capture 3.PNG,1,Green light (Go),0.594595,0.353047,0.019078,0.046595
Capture 3.PNG,1,Green light (Go),0.239269,0.240143,0.068362,0.023895
Capture 3_1.PNG,2,Pedestrian go,0.612083,0.364397,0.015898,0.014337
Capture 3_1.PNG,1,Green light (Go),0.594595,0.353047,0.019078,0.046595
Capture 3_1.PNG,1,Green light (Go),0.239269,0.240143,0.068362,0.023895
Capture 3_10.PNG,2,Pedestrian go,0.612083,0.364397,0.015898,0.014337
Capture 3_10.PNG,1,Green light (Go),0.594595,0.353047,0.019078,0.046595
Capture 3_10.PNG,1,Green light (Go),0.239269,0.240143,0.068362,0.023895
Capture 3_11.PNG,2,Pedestrian go,0.612083,0.364397,0.015898,0.014337
Capture 3_11.PNG,1,Green light (Go),0.594595,0.353047,0.019078,0.046595
Capture 3_11.PNG,1,Green light (Go),0.239269,0.240143,0.068362,0.023895
Capture 3_15.PNG,2,Pedestrian go,0.612083,0.364397,0.015898,0.014337
Capture 3_15.PNG,1,Green light (Go),0.594595,0.353047,0.019078,0.046595
Capture 3_15.PNG,1,Green light (Go),0.239269,0.240143,0.068362,0.023895
Capture 3_2.PNG,2,Pedestrian go,0.612083,0.364397,0.015898,0.014337
Capture 3_2.PNG,1,Green light (Go),0.594595,0.353047,0.019078,0.046595
Capture 3_2.PNG,1,Green light (Go),0.239269,0.240143,0.068362,0.023895
Capture 3_3.PNG,2,Pedestrian go,0.612083,0.364397,0.015898,0.014337
Capture 3_3.PNG,1,Green light (Go),0.594595,0.353047,0.019078,0.046595
Capture 3_3.PNG,1,Green light (Go),0.239269,0.240143,0.068362,0.023895
Capture 3_5.PNG,2,Pedestrian go,0.612083,0.364397,0.015898,0.014337
Capture 3_5.PNG,1,Green light (Go),0.594595,0.353047,0.019078,0.046595
Capture 3_5.PNG,1,Green light (Go),0.239269,0.240143,0.068362,0.023895
Capture 3_6.PNG,2,Pedestrian go,0.612083,0.364397,0.015898,0.014337
Capture 3_6.PNG,1,Green light (Go),0.594595,0.353047,0.019078,0.046595
Capture 3_6.PNG,1,Green light (Go),0.239269,0.240143,0.068362,0.023895
Capture 3_8.PNG,2,Pedestrian go,0.612083,0.364397,0.015898,0.014337
Capture 3_8.PNG,1,Green light (Go),0.594595,0.353047,0.019078,0.046595
Capture 3_8.PNG,1,Green light (Go),0.239269,0.240143,0.068362,0.023895
Capture 3_9.PNG,2,Pedestrian go,0.612083,0.364397,0.015898,0.014337
Capture 3_9.PNG,1,Green light (Go),0.594595,0.353047,0.019078,0.046595
Capture 3_9.PNG,1,Green light (Go),0.239269,0.240143,0.068362,0.023895
Capture 4.PNG,3,Pedestrian go 1 sec,0.416533,0.317964,0.040128,0.020359
Capture 4_1.PNG,3,Pedestrian go 1 sec,0.416533,0.317964,0.040128,0.020359
Capture 4_10.PNG,3,Pedestrian go 1 sec,0.416533,0.317964,0.040128,0.020359
Capture 4_11.PNG,3,Pedestrian go 1 sec,0.416533,0.317964,0.040128,0.020359
